About,A Propos,
Amended From,Modifié Depuis,
Apps,Apps,
Back,Retour,
Bin,Bin,
CSV,CSV,
CSV File Path (relative to app folder),CSV File Path (relative to app folder),
Category,Catégorie,
Code,Code,
Confirmed,Confirmé,
Date,Date,
Debug Mode,Mode de débogage,
Description,Description,
Erreur,Erreur,
Erreur Serveur,Erreur Serveur,
"Example: SELECT Location, Item_ID, QOH FROM your_inventory_table","Example: SELECT Location, Item_ID, QOH FROM your_inventory_table",
Expected_qty,Quantité attendue,
ExtendedCost,ExtendedCost,
Frappe Support,Frappe Support,
IV_Audit_RecID,IV_Audit_RecID,
IV_Item_RecID,IV_Item_RecID,
Import Source Type,Type de source d'importation,
Inv_difference,Inv_difference,
Inv_physical_items,Inv_physical_items,
Inv_virtual_items,Inv_virtual_items,
Inventory Count,Compte d'inventaire,
Inventory Count Settings,Paramètre Compte d'inventaire,
Inventory difference to Apply,Différence d'inventaire à appliquer,
Item_ID,Item_ID,
Keyboard Shortcuts,Raccourcis clavier,
LastTransactionDate,LastTransactionDate,
Location,Lieu,
Log out,Log out,
PickedNotInvoiced,PickedNotInvoiced,
PickedNotInvoicedCost,PickedNotInvoicedCost,
PickedNotShipped,PickedNotShipped,
PickedNotShippedCost,PickedNotShippedCost,
QOH,QOH,
Qty,Qty,
Reload,Recharger,
SNList,SNList,
SQL Database,Base de données SQL,
SQL Database Name,Nom de la BD SQL,
SQL Host,Serveur SQL,
SQL Password,Mot de passe SQL,
SQL Port,SQL Port,
SQL Query,SQL Query,
SQL Username,SQL Username,
Scanned Items,Items Scannés,
Select where to import virtual inventory data from.,Sélectionnez d'où importer les données d'inventaire virtuel.,
SelectedCost,SelectedCost,
Session Defaults,Session par défaut,
Settings,Paramètres,
ShortDescription,ShortDescription,
System Health,System Health,
System Manager,Responsable Système,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
User Settings,User Settings,
Vendor_Name,Vendor_Name,
Vendor_RecID,Vendor_RecID,
Veuillez confirmer toutes les différences d'inventaire en cochant la case 'Confirmé' dans chaque ligne.,Veuillez confirmer toutes les différences d'inventaire en cochant la case 'Confirmé' dans chaque ligne.,
Veuillez entrer un code avant d'appuyer sur Entrée.,Veuillez entrer un code avant d'appuyer sur Entrée.,
View Website,Voir Le Site Web,
Virtual Inventory,Virtual Inventory,
Virtual Inventory Import Settings,Virtual Inventory Import Settings,
Warehouse,Entrepôt,
Warehouse Bin,Warehouse Bin,
Warehouse_Bin_RecID,Warehouse_Bin_RecID,
Warehouse_RecID,Warehouse_RecID,
Workspace Settings,Workspace Settings,
difference_reason,difference_reason,
"e.g., test.csv (for file in inv_count app folder) or path/to/your_file.csv","e.g., test.csv (for file in inv_count app folder) or path/to/your_file.csv",
physical_qty,physical_qty,
virtual_qty,virtual_qty,
